"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 19 20:14:48 NOVT 2024","Fri Apr 19 20:14:49 NOVT 2024","843","","tests.Group.GroupCreationTest","","tests.Group.GroupCreationTest","canCreateMultipleGroup","canCreateMultipleGroup(GroupDate) [3] GroupDate[id=, name=muhtukwwttobxyoptzyl, header=ujdbhiihrjjuubnzjiep, footer=rjjusonpnmgotirhthqn]",""
"passed","Fri Apr 19 20:14:51 NOVT 2024","Fri Apr 19 20:14:52 NOVT 2024","1299","","tests.Group.GroupRemovalTest","","tests.Group.GroupRemovalTest","canRemoveGroup","canRemoveGroup()",""
"passed","Fri Apr 19 20:14:49 NOVT 2024","Fri Apr 19 20:14:50 NOVT 2024","786","","tests.Group.GroupCreationTest","","tests.Group.GroupCreationTest","canNotCreateGroup","canNotCreateGroup(GroupDate) [1] GroupDate[id=, name=', header=, footer=]",""
"broken","Fri Apr 19 20:14:44 NOVT 2024","Fri Apr 19 20:14:45 NOVT 2024","249","","tests.Contact.ContactCreationTest","","tests.Contact.ContactCreationTest","canCreateMultipleContact","canCreateMultipleContact(ContactDate) [1] ContactDate[id=, firstname=, middlename=, lastname=, address=, photo=]",""
"broken","Fri Apr 19 20:14:45 NOVT 2024","Fri Apr 19 20:14:45 NOVT 2024","169","","tests.Contact.ContactCreationTest","","tests.Contact.ContactCreationTest","canCreateMultipleContact","canCreateMultipleContact(ContactDate) [3] ContactDate[id=, firstname=nkmtbfrycaupwpyerpxe, middlename=annuyzcqslpbfbvbpvak, lastname=usxrkplamolbxclpanwg, address=, photo=]",""
"passed","Fri Apr 19 20:14:47 NOVT 2024","Fri Apr 19 20:14:48 NOVT 2024","946","","tests.Group.GroupCreationTest","","tests.Group.GroupCreationTest","canCreateMultipleGroup","canCreateMultipleGroup(GroupDate) [2] GroupDate[id=, name=senylnizbx, header=lhktiqufvo, footer=yuvfocozfn]",""
"passed","Fri Apr 19 20:14:46 NOVT 2024","Fri Apr 19 20:14:47 NOVT 2024","990","","tests.Group.GroupCreationTest","","tests.Group.GroupCreationTest","canCreateMultipleGroup","canCreateMultipleGroup(GroupDate) [1] GroupDate[id=, name=, header=, footer=]",""
"passed","Fri Apr 19 20:14:45 NOVT 2024","Fri Apr 19 20:14:46 NOVT 2024","673","","tests.Contact.ContactRemovalTestAll","","tests.Contact.ContactRemovalTestAll","canRemoveContact","canRemoveContact()",""
"broken","Fri Apr 19 20:14:45 NOVT 2024","Fri Apr 19 20:14:45 NOVT 2024","173","","tests.Contact.ContactCreationTest","","tests.Contact.ContactCreationTest","canCreateMultipleContact","canCreateMultipleContact(ContactDate) [2] ContactDate[id=, firstname=nflssoyghh, middlename=inktrkhexs, lastname=kdfndpnkpo, address=, photo=]",""
"passed","Fri Apr 19 20:14:50 NOVT 2024","Fri Apr 19 20:14:51 NOVT 2024","952","","tests.Group.GroupModificationTests","","tests.Group.GroupModificationTests","canModifyGroup","canModifyGroup()",""
"passed","Fri Apr 19 20:14:51 NOVT 2024","Fri Apr 19 20:14:51 NOVT 2024","396","","tests.Group.GroupRemovalTest","","tests.Group.GroupRemovalTest","canRemoveAllGroupsAtOnce","canRemoveAllGroupsAtOnce()",""
"broken","Fri Apr 19 20:14:45 NOVT 2024","Fri Apr 19 20:14:45 NOVT 2024","320","","tests.Contact.ContactModificationTest","","tests.Contact.ContactModificationTest","canModifyContact","canModifyContact()",""
"passed","Fri Apr 19 20:14:38 NOVT 2024","Fri Apr 19 20:14:44 NOVT 2024","5279","","tests.Contact.ContactCreationTest","","tests.Contact.ContactCreationTest","canCreateContact","canCreateContact()",""
